mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,27,2346,512,100,1800,600,900,15,449000,15468,8352720,7919616,433532,3.44499,96.555,6.144,0.21119,5.86861,54,0.18,57.5167
mobile,27,2346,512,100,1800,900,1200,20,599000,43268,23364720,22153216,555732,7.22337,92.7766,8.192,0.590752,6.27503,79,0.263333,58.3389
mobile,27,2346,512,100,1800,1200,1500,25,749000,34343,18545220,17583616,714657,4.58518,95.4148,10.24,0.468896,6.30967,118,0.393333,54.0654
mobile,27,2346,512,100,1800,1500,1800,26,779800,39959,21577860,20459008,739841,5.12426,94.8757,10.6496,0.545574,8.41884,113,0.376667,55.0846
mobile,28,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,21,0.0704698,59.396
mobile,28,2346,512,100,1800,300,600,10,299000,8300,4482000,4249600,290700,2.77592,97.2241,4.096,0.113323,6.7218,52,0.173333,58.4448
mobile,28,2346,512,100,1800,600,900,15,449000,22877,12353580,11713024,426123,5.0951,94.9049,6.144,0.312347,6.57036,61,0.203333,59.2984
mobile,28,2346,512,100,1800,900,1200,20,599000,21793,11768220,11158016,577207,3.63823,96.3618,8.192,0.297547,7.76394,79,0.263333,59.5409
mobile,28,2346,512,100,1800,1200,1500,25,749000,28654,15473160,14670848,720346,3.82563,96.1744,10.24,0.391223,7.19244,109,0.363333,59.2323
mobile,28,2346,512,100,1800,1500,1800,27,809600,39336,21241440,20140032,770264,4.8587,95.1413,11.0592,0.537068,7.26496,113,0.376667,58.3498
mobile,29,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,22,0.0738255,63.6242
mobile,29,2346,512,100,1800,300,600,10,299000,17175,9274500,8793600,281825,5.74415,94.2559,4.096,0.234496,5.22999,45,0.15,51.6388
mobile,29,2346,512,100,1800,600,900,15,449000,18919,10216260,9686528,430081,4.21359,95.7864,6.144,0.258307,5.45576,61,0.203333,60.5011
mobile,29,2346,512,100,1800,900,1200,20,599000,18405,9938700,9423360,580595,3.07262,96.9274,8.192,0.25129,6.65969,86,0.286667,61.6194
mobile,29,2346,512,100,1800,1200,1500,25,749000,29821,16103340,15268352,719179,3.98144,96.0186,10.24,0.407156,7.40149,109,0.363333,57.7503
mobile,29,2346,512,100,1800,1500,1800,28,839400,48493,26186220,24828416,790907,5.7771,94.2229,11.4688,0.662091,7.83122,122,0.406667,54.944
mobile,30,2346,512,100,1800,2,300,5,149000,1842,994680,943104,147158,1.23624,98.7638,2.048,0.0253182,0.465456,24,0.0805369,51.4765
mobile,30,2346,512,100,1800,300,600,10,299000,17622,9515880,9022464,281378,5.89365,94.1064,4.096,0.240599,4.97424,44,0.146667,54.4314
mobile,30,2346,512,100,1800,600,900,15,449000,13310,7187400,6814720,435690,2.96437,97.0356,6.144,0.181726,8.45711,60,0.2,60.3229
mobile,30,2346,512,100,1800,900,1200,20,599000,33537,18109980,17170944,565463,5.59883,94.4012,8.192,0.457892,5.51135,102,0.34,53.4975
mobile,30,2346,512,100,1800,1200,1500,25,749000,42074,22719960,21541888,706926,5.61736,94.3826,10.24,0.57445,7.90681,104,0.346667,54.6729
